ticket,price
ANAB,$16.34
ANDE,$43.13
ANEB,$1.07
ANGH,$0.66
ANGHW,$0.0166
ANGI,$1.66
ANGO,$9.10
ANIK,$16.62
ANIP,$60.62
ANIX,$2.84
ANL,$2.3115
ANNA,$6.08
ANNAW,$0.195
ANNX,$2.76
ANSC,$10.6078
ANSCU,$10.66
ANSCW,$0.35
ANSS,$325.61
ANTE,$0.43
ANTX,$1.31
ANY,$0.599
AOSL,$27.45
AOUT,$13.97
APA,$18.84
APCX,$0.4299
APCXW,$0.18
APDN,$0.1314
APEI,$23.50
APGE,$36.14
API,$5.37
APLD,$7.26
APLM,$6.39
APLMW,$0.012
APLS,$25.04
APLT,$0.5724
APM,$0.9401
APOG,$47.89
APP,$270.48
APPF,$220.89
APPN,$31.85
APPS,$2.94
APRE,$2.33
APTO,$3.17
APVO,$2.54
APWC,$1.68
APYX,$1.19
AQB,$0.6777
AQMS,$1.92
AQST,$2.65
ARAY,$1.86
ARBB,$0.97
ARBE,$1.29
ARBEW,$0.2461
ARBK,$0.45
ARBKL,$8.11
ARCB,$75.25
ARCC,$23.01
ARCT,$14.55
ARDX,$5.30
AREB,$0.365
AREBW,$0.012
AREC,$0.5555
ARGX,$594.21
ARHS,$9.33
ARKO,$4.12
ARKOW,$0.069
ARKR,$10.56
ARLP,$24.83
ARM,$125.55
AROW,$26.40
ARQ,$4.88
ARQQ,$12.61
ARQQW,$2.0895
ARQT,$14.72
ARRY,$6.15
ARTL,$1.00
ARTNA,$33.01
ARTV,$5.36
ARTW,$1.66
ARVN,$18.28
ARWR,$16.97
ASBP,$0.86
ASBPW,$0.06
ASLE,$8.24
ASMB,$11.12
ASML,$732.22
ASND,$145.74
ASNS,$0.84
ASO,$49.24
ASPC,$10.04
ASPCR,$0.1843
ASPCU,$10.20
ASPI,$4.41
ASPS,$0.8399
ASRT,$0.7819
ASRV,$2.56
ASST,$0.5035
ASTC,$6.52
ASTE,$35.96
ASTH,$29.38
ASTI,$1.78
ASTL,$6.38
ASTLW,$0.52
ASTS,$33.40
ASUR,$10.94
ASYS,$5.07
ATAI,$1.51
ATAT,$30.11
ATCOL,$25.1191
ATEC,$10.46
ATER,$2.15
ATEX,$39.25
ATGL,$22.50
ATHA,$0.3415
ATHE,$3.72
ATIIU,$10.0553
ATLC,$46.06
ATLCL,$23.9999
ATLCP,$23.175
ATLCZ,$25.135
ATLN,$3.57
ATLO,$18.58
ATLX,$5.25
ATMC,$11.65
ATMCR,$0.195
ATMCW,$0.0123
ATMV,$11.54
ATMVR,$0.1336
ATNF,$1.18
ATNFW,$0.0086
ATNI,$19.89
ATOM,$6.06
ATOS,$0.7376
ATPC,$1.05
ATRA,$6.90
ATRC,$34.52
ATRO,$24.45
ATSG,$22.29
ATXG,$0.916
ATXI,$0.98
ATXS,$6.19
ATYR,$3.40
AUBN,$21.00
AUDC,$10.52
AUID,$5.11
AUPH,$8.15
AUR,$7.10
AURA,$7.40
AUROW,$1.54
AUTL,$2.01
AUUD,$0.279
AUUDW,$0.0194
AVAH,$3.85
AVAV,$132.33
AVBP,$21.87
AVDL,$7.91
AVDX,$7.17
AVGO,$194.96
AVIR,$2.99
AVNW,$20.20
AVO,$11.96
AVPT,$14.36
AVPTW,$3.90
AVR,$7.56
AVT,$50.44
AVTE,$2.53
AVTX,$7.76
AVXL,$8.67
AWH,$0.185
AWRE,$1.54
AXDX,$1.12
AXGN,$17.73
AXON,$526.40
AXSM,$122.17
AXTI,$1.62
AYRO,$0.5685
AYTU,$1.25
AZ,$6.94
AZI,$0.499
AZN,$77.50
AZPN,$265.25
AZTA,$43.68
BACK,$0.56
BACQ,$9.98
BACQR,$0.1801
BACQU,$10.19
BAER,$1.87
BAERW,$0.0791
BAFN,$18.30
BAND,$15.13
BANF,$112.78
BANFP,$26.35
BANL,$1.0818
BANR,$63.92
BANX,$21.21
BAOS,$2.30
BASE,$16.80
BATRA,$43.57
BATRK,$39.94
BAYA,$10.88
BAYAR,$0.1726
BBCP,$6.19
BBGI,$6.30
BBIO,$31.57
BBLG,$0.84
BBLGW,$20.20
BBNX,$16.14
BBSI,$39.89
BCAB,$0.3449
BCAL,$15.60
BCAX,$16.55
BCBP,$9.88
BCDA,$2.62
BCG,$2.29
BCGWW,$0.0526
BCLI,$1.60
BCML,$26.18
BCOW,$9.40
BCPC,$175.69
BCRX,$7.69
BCTX,$3.53
BCTXW,$0.0999
BCYC,$10.23
BDMD,$3.95
BDMDW,$0.0622
BDRX,$3.05
BDSX,$0.8622
BDTX,$1.88
BEAG,$10.0499
BEAGR,$0.261
BEAGU,$10.28
BEAM,$28.48
BEAT,$2.19
BEATW,$0.5561
BECN,$111.10
BEEM,$2.21
BELFA,$78.89
BELFB,$80.80
BENF,$0.313
BENFW,$0.0085
BETR,$9.91
BETRW,$0.0807
BFC,$101.85
BFIN,$12.85
BFRG,$1.80
BFRGW,$0.7101
BFRI,$0.92
BFRIW,$0.0581
BFST,$25.03
BGC,$9.32
BGFV,$1.05
BGLC,$0.369
BGM,$10.73
BHAT,$0.0372
BHF,$54.21
BHFAL,$21.35
BHFAM,$15.35
BHFAN,$16.80
BHFAO,$21.85
BHFAP,$21.17
BHIL,$1.04
BHRB,$60.29
BHST,$5.3218
BIAF,$0.3715
BIAFW,$0.2903
BIDU,$94.80
BIGC,$6.04
BIIB,$150.38
BILI,$24.10
BIOA,$4.55
BIOX,$5.19
BIRD,$6.63
BITF,$1.24
BIVI,$1.19
BJDX,$4.19
BJRI,$35.93
BKHA,$10.51
BKHAR,$1.58
BKNG,$4673.38
BKR,$42.89
BKYI,$1.06
BL,$48.88
BLBD,$33.92
BLBX,$3.46
BLDE,$3.12
BLDEW,$0.26
BLDP,$1.26
BLFS,$25.83
BLFY,$9.66
BLIN,$1.43
BLKB,$65.73
BLMN,$8.79
BLMZ,$0.2474
BLNE,$0.75
BLNK,$1.04
BLRX,$3.18
BLTE,$63.19
BLUE,$4.00
BLZE,$5.41
BMBL,$5.08
BMEA,$2.71
BMGL,$4.02
BMR,$2.45
BMRA,$0.644
BMRC,$23.29
BMRN,$72.23
BNAI,$0.359
BNAIW,$0.0231
BNGO,$4.08
BNIX,$11.75
BNIXR,$0.1698
BNIXW,$0.0385
BNR,$5.66
BNRG,$1.24
BNTC,$12.99
BNTX,$108.78
BNZI,$1.17
BNZIW,$0.025
BOF,$1.90
BOKF,$102.44
BOLD,$1.69
BOLT,$0.436
BON,$0.9487
BOOM,$8.25
BOSC,$3.87
BOTJ,$13.07
BOWN,$3.80
BOWNR,$0.2825
BOWNU,$3.93
BOXL,$1.632
BPMC,$87.12
BPOP,$93.33
BPOPM,$25.11
BPRN,$32.35
BPYPM,$15.25
BPYPN,$13.91
BPYPO,$14.35
BPYPP,$14.66
BRAG,$4.36
BREA,$0.6151
BRFH,$3.60
BRID,$10.28
BRKL,$11.02
BRKR,$48.41
BRLS,$5.96
BRLSW,$0.10
BRLT,$1.36
BRNS,$0.985
BROG,$1.22
BRTX,$1.55
BRY,$3.56
BRZE,$33.74
BSBK,$8.00
BSET,$15.45
BSGM,$0.7846
BSII,$10.02
BSIIU,$10.07
BSIIW,$0.20
BSLK,$0.3709
BSLKW,$0.0433
BSRR,$28.56
BSVN,$40.40
BSY,$43.02
BTAI,$3.37
BTBD,$1.55
BTBDW,$0.0412
BTBT,$2.54
BTCS,$2.03
BTCT,$4.45
BTCTW,$0.0375
BTDR,$11.00
BTM,$1.30
BTMD,$4.26
BTMWW,$0.068
BTOC,$1.61
BTOG,$0.62
BTSG,$17.48
BTSGU,$63.44
BUJA,$11.39
BUJAR,$0.1845
BUSE,$22.55
BVFL,$15.10
BVS,$9.20
BWAY,$9.41
BWB,$14.00
BWBBP,$19.34
BWEN,$1.53
BWFG,$30.06
BWIN,$39.20
BWMN,$18.95
BYFC,$7.295
BYND,$3.36
BYRN,$22.48
BYSI,$1.67
BZ,$17.86
BZAI,$3.30
BZAIW,$0.3999
BZFD,$2.04
BZFDW,$0.081
BZUN,$3.34
CAAS,$4.41
CABA,$1.85
CAC,$41.47
CACC,$493.91
CADL,$8.26
CAKE,$49.16
CALC,$2.24
CALM,$87.18
CAMP,$4.19
CAMT,$68.80
CAN,$1.27
CAPN,$10.13
CAPNR,$0.17
CAPR,$12.81
CAPS,$3.32
CAPT,$0.50
CAPTW,$0.0214
CAR,$74.49
CARA,$4.92
CARE,$16.50
CARG,$31.65
CARM,$0.4482
CART,$39.90
CARV,$1.5516
CASH,$72.23
CASI,$2.20
CASK,$0.559
CASS,$43.42
CASY,$398.73
CATY,$44.67
CBAT,$0.8945
CBFV,$28.48
CBLL,$22.69
CBNK,$28.40
CBRL,$42.82
CBSH,$62.22
CBUS,$2.21
CCAP,$17.37
CCB,$82.99
CCBG,$36.29
CCCC,$2.36
CCCS,$9.29
CCD,$22.67
CCEC,$19.53
CCEP,$82.40
CCG,$1.165
CCGWW,$0.0287
CCIR,$11.54
CCIRU,$11.95
CCIRW,$1.55
CCIX,$10.57
CCIXW,$0.49
CCLD,$1.66
CCLDO,$19.7872
CCLDP,$12.59
CCNE,$23.34
CCNEP,$24.92
CCOI,$71.59
CCRN,$15.93
CCSI,$24.27
CCTG,$1.66
CDIO,$0.4523
CDIOW,$0.0425
CDLX,$2.00
CDNA,$18.92
CDNS,$243.21
CDRO,$7.60
CDROW,$0.7777
CDT,$1.10
CDTG,$1.39
CDTTW,$0.0136
CDTX,$23.66
CDW,$168.37
CDXC,$7.70
CDXS,$2.82
CDZI,$3.64
CDZIP,$18.67
CEAD,$9.50
CEADW,$0.025
CECO,$24.24
CEG,$212.54
CELC,$10.64
CELH,$27.39
CELU,$1.23
CELUW,$0.1207
CELZ,$4.15
CENN,$0.9129
CENT,$37.06
CENTA,$32.67
CENX,$18.67
CEP,$10.31
CEPO,$10.11
CERO,$1.47
CEROW,$0.0141
CERS,$1.51
CERT,$11.73
CETX,$1.63
CETY,$0.4836
CEVA,$32.43
CFBK,$22.73
CFFI,$70.56
CFFN,$5.80
CFLT,$26.61
CFSB,$7.65
CG,$43.00
CGABL,$17.74
CGBD,$17.36
CGBDL,$25.725
CGBS,$0.2381
CGBSW,$0.0498
CGC,$1.17
CGEM,$8.71
CGEN,$1.66
CGNT,$8.47
CGNX,$33.97
CGO,$10.795
CGON,$26.72
CGTL,$3.20
CGTX,$0.4286
CHAR,$10.05
CHARR,$0.18
CHCI,$7.1004
CHCO,$116.80
CHDN,$112.00
CHEF,$56.68
CHEK,$0.8025
CHI,$10.23
CHKP,$230.20
CHMG,$49.98
CHNR,$0.5458
CHR,$1.77
CHRD,$103.63
CHRS,$1.04
CHRW,$102.45
CHSCL,$25.80
CHSCM,$25.32
CHSCN,$25.56
CHSCO,$26.77
CHSCP,$28.14
CHSN,$0.2444
CHTR,$379.52
CHW,$6.81
CHX,$29.66
CHY,$10.69
CIFR,$3.89
CIFRW,$0.7225
CIGI,$124.19
CINF,$139.96
CING,$3.86
CINGW,$0.0305
CISO,$1.045
CISS,$0.7899
CIVB,$19.78
CJET,$1.27
CJMB,$4.35
CKPT,$2.47
CLAR,$4.43
CLBK,$15.83
CLBT,$17.57
CLDX,$20.67
CLEU,$2.52
CLFD,$28.66
CLGN,$3.339
CLIK,$0.9636
CLIR,$0.8498
CLLS,$1.255
CLMB,$131.86
CLMT,$11.97
CLNE,$1.80
CLNN,$4.58
CLOV,$3.64
CLPS,$1.2665
CLPT,$13.07
CLRB,$0.318
CLRC,$12.13
CLRO,$0.7407
CLSD,$0.9278
CLSK,$8.83
CLSKW,$0.44
CLST,$11.68
CLWT,$1.41
CLYM,$1.47
CMBM,$0.675
CMCO,$17.94
CMCSA,$37.59
CMCT,$0.7189
CME,$254.57
CMLS,$0.521
CMMB,$1.25
CMND,$1.06
CMPO,$10.97
CMPOW,$3.70
CMPR,$45.93
CMPS,$3.74
CMPX,$2.69
CMRX,$8.43
CMTL,$1.715
CNCK,$6.77
CNCKW,$0.81
CNDT,$3.29
CNET,$1.485
CNEY,$0.1843
CNFR,$0.9292
CNFRZ,$22.00
CNOB,$23.98
CNOBP,$22.85
CNSP,$2.65
CNTA,$16.23
CNTB,$0.85
CNTM,$0.609
CNTX,$0.8014
CNTY,$2.60
CNVS,$3.61
CNXC,$47.10
CNXN,$63.68
COCH,$1.39
COCO,$33.86
COCP,$1.701
CODA,$6.85
CODX,$0.56
COEP,$10.594
COEPW,$0.025
COFS,$30.61
COGT,$7.01
COHU,$17.18
COIN,$217.45
COKE,$1323.77
COLAU,$10.13
COLB,$25.04
COLL,$28.91
COLM,$84.26
COMM,$5.305
COO,$85.00
COOP,$106.19
COOT,$1.4005
COOTW,$0.0256
CORT,$55.40
CORZ,$7.78
CORZW,$3.28
CORZZ,$7.57
COSM,$0.5125
COST,$964.31
COYA,$6.88
CPB,$41.81
CPBI,$14.9804
CPHC,$20.0717
CPIX,$6.37
CPOP,$0.67
CPRT,$53.74
CPRX,$21.96
CPSH,$1.54
CPSS,$9.41
CPZ,$15.31
CRAI,$186.06
CRBP,$6.79
CRBU,$1.16
CRCT,$5.56
CRDF,$3.855
CRDL,$1.165
CRDO,$43.70
CREG,$0.7543
CRESW,$0.85
CRESY,$10.64
CREV,$2.95
CREVW,$0.0414
CREX,$1.87
CRGO,$2.25
CRGOW,$0.20
CRGX,$3.96
CRIS,$2.91
CRMD,$10.71
CRML,$2.01
CRMLW,$0.2939
CRMT,$44.54
CRNC,$10.31
CRNT,$2.55
CRNX,$33.28
CRON,$1.99
CROX,$99.84
CRSP,$45.53
CRSR,$11.22
CRTO,$36.66
CRUS,$108.92
CRVL,$108.76
CRVO,$2.21
CRVS,$4.62
CRWD,$333.50
CRWS,$4.0351
CSAI,$6.68
CSBR,$9.94
CSCI,$2.75
CSCO,$63.94
CSGP,$79.39
CSGS,$64.11
CSIQ,$10.24
CSLR,$1.38
CSLRW,$0.1169
CSPI,$16.26
CSQ,$16.76
CSTE,$3.27
CSTL,$20.21
CSWC,$22.99
CSWCZ,$25.70
CSWI,$301.45
CSX,$31.26
CTAS,$203.06
CTBI,$52.04
CTCX,$0.1973
CTCXW,$0.0267
CTHR,$1.13
CTKB,$4.53
CTLP,$9.16
CTMX,$0.6649
CTNM,$6.77
CTNT,$1.69
CTOR,$0.94
CTRM,$2.59
CTRN,$23.63
CTSH,$83.23
CTSO,$1.01
CTXR,$1.79
CUB,$10.22
CUBA,$2.615
CUBWU,$10.17
CUBWW,$0.1198
CUE,$1.10
CURI,$2.27
CURIW,$0.0303
CURR,$2.25
CUTR,$0.0984
CVAC,$3.04
CVBF,$19.44
CVCO,$520.32
CVGI,$2.03
CVGW,$23.60
CVKD,$16.85
CVLT,$154.26
CVRX,$11.57
CVV,$2.95
CWBC,$18.47
CWCO,$27.82
CWD,$0.5703
CWST,$112.47
CXAI,$1.05
CXAIW,$0.1278
CXDO,$6.47
CYBR,$335.45
CYCC,$0.318
CYCCP,$9.75
CYCN,$2.80
CYCU,$0.6351
CYCUW,$0.061
CYN,$4.90
CYRX,$6.23
CYTH,$0.736
CYTHW,$0.2148
CYTK,$43.43
CZFS,$59.07
CZNC,$20.44
CZR,$28.48
CZWI,$14.83
DADA,$1.86
DAIO,$2.54
DAKT,$12.70
DALN,$6.15
DARE,$2.95
DASH,$178.08
DATS,$2.22
DATSW,$0.2763
DAVE,$83.36
DAVEW,$0.1701
DAWN,$8.67
DBVT,$4.1755
DBX,$26.42
DCBO,$31.04
DCGO,$3.03
DCOM,$28.44
DCOMG,$26.15
DCOMP,$19.4285
DCTH,$13.00
DDI,$9.74
DDOG,$109.63
DECA,$12.02
DECAW,$0.0498
DENN,$4.16
DERM,$5.14
DEVS,$0.38
DFLI,$1.25
DFLIW,$0.0328
DGHI,$1.35
DGICA,$17.90
DGICB,$15.80
DGII,$28.91
DGLY,$0.075
DGNX,$54.13
DH,$2.85
DHAI,$0.3934
DHAIW,$0.0177
DHC,$2.68
DHCNI,$14.79
DHCNL,$16.3278
DHIL,$152.53
DIBS,$3.48
DIOD,$49.10
DISTW,$0.0201
DJCO,$389.39
DJT,$22.50
DJTWW,$13.24
DKNG,$39.41
DLHC,$5.22
DLO,$9.06
DLPN,$1.10
DLTH,$2.77
DLTR,$68.99
DMAA,$10.00
DMAAR,$0.14
DMAAU,$10.13
DMAC,$5.77
DMLP,$30.17
DMN,$0.1888
DMRC,$15.44
DNLI,$16.69
DNTH,$24.03
DNUT,$6.22
DOCU,$79.83
DOGZ,$28.30
DOMH,$6.17
DOMO,$8.18
DOOO,$40.71
DORM,$124.91
DOX,$90.46
DOYU,$7.56
DPRO,$2.40
DPZ,$472.05
DRCT,$0.9045
DRDB,$9.98
DRDBU,$10.13
DRDBW,$0.30
DRIO,$0.729
DRMA,$1.21
DRMAW,$0.0235
DRRX,$0.7654
DRS,$31.26
DRTS,$2.765
DRTSW,$0.221
DRUG,$34.50
DRVN,$16.06
DSGN,$4.92
DSGR,$30.49
DSGX,$100.42
DSP,$14.67
DSWL,$2.32
DSY,$1.73
DSYWW,$0.0267
DTCK,$0.96
DTI,$3.01
DTIL,$5.18
DTSQ,$10.23
DTSQR,$0.175
DTSS,$2.17
DTST,$3.65
DTSTW,$0.3964
DUO,$0.4877
DUOL,$295.56
DUOT,$5.55
DVAX,$14.40
DVLT,$0.741
DWSN,$1.45
DWTX,$6.60
DXCM,$77.84
DXLG,$1.95
DXPE,$78.69
DXR,$8.00
DXST,$0.97
DYAI,$1.45
DYCQ,$10.65
DYCQR,$0.1901
DYN,$12.40
DYNX,$9.88
DYNXU,$10.0099
DYNXW,$0.2997
EA,$140.04
EBAY,$70.51
EBC,$16.22
EBMT,$17.33
EBON,$4.52
EBTC,$39.37
ECBK,$14.87
ECDA,$0.6894
ECDAW,$0.0248
ECOR,$14.10
ECPG,$35.74
ECX,$2.80
ECXWW,$0.0899
EDAP,$2.54
EDBL,$2.13
EDBLW,$0.0509
EDIT,$1.72
EDRY,$11.175
EDSA,$2.33
EDTK,$1.0261
EDUC,$1.3384
EEFT,$101.97
EEIQ,$0.806
EFOI,$2.57
EFSC,$56.58
EFSCP,$18.86
EFSI,$32.30
EGAN,$4.93
EGBN,$21.70
EGHT,$2.30
EH,$22.67
EHGO,$1.10
EHTH,$8.12
EJH,$0.703
EKSO,$0.3861
ELAB,$0.72
ELBM,$1.50
ELDN,$3.79
ELEV,$0.5108
ELPW,$0.741
ELSE,$4.37
ELTK,$11.28
ELTX,$7.89
ELUT,$2.775
ELVA,$2.24
ELVN,$21.00
ELWS,$2.06
EM,$1.13
EMBC,$12.75
EMCG,$11.94
EMCGR,$0.18
EML,$28.15
ENGN,$5.25
ENGNW,$0.6998
ENLT,$16.61
ENLV,$1.19
ENPH,$61.63
ENSC,$5.02
ENSG,$130.33
ENTA,$7.22
ENTG,$102.93
ENTO,$0.5506
ENTX,$1.89
ENVB,$1.82
ENVX,$8.61
EOLS,$13.58
EOSE,$4.60
EOSEW,$0.47
EPIX,$1.64
EPOW,$0.945
EPRX,$4.16
EPSN,$6.58
EPWK,$4.73
EQ,$0.796
EQIX,$859.52
ERAS,$1.53
ERIC,$8.66
ERIE,$446.74
ERII,$16.37
ERNA,$0.2853
ESCA,$15.10
ESEA,$33.45
ESGL,$1.82
ESGLW,$0.0193
ESGR,$331.83
ESGRO,$20.2501
ESGRP,$20.62
ESHAR,$0.0901
ESLA,$0.988
ESLAW,$0.09
ESLT,$357.03
ESOA,$9.89
ESPR,$1.69
ESQ,$72.19
ESSA,$19.84
ESTA,$41.70
ETNB,$7.85
ETON,$14.59
ETSY,$46.80
EU,$1.61
EUDA,$3.61
EUDAW,$0.0889
EURK,$10.27
EURKU,$10.49
EVAX,$1.88
EVCM,$9.46
EVER,$25.77
EVGN,$1.48
EVGO,$2.58
EVGOW,$0.2601
EVLV,$3.17
EVLVW,$0.2475
EVO,$3.64
EVOK,$3.88
EVRG,$65.80
EVTV,$0.2735
EWBC,$89.08
EWCZ,$5.55
EWTX,$28.01
EXAS,$47.06
EXC,$43.11
EXE,$96.03
EXEEL,$79.46
EXEEZ,$83.97
EXEL,$38.58
EXFY,$3.55
EXLS,$47.58
EXOZ,$14.48
EXPE,$184.33
EXPI,$9.92
EXPO,$85.54
EXTR,$14.85
EYE,$12.16
EYEN,$1.59
EYPT,$7.13
EZGO,$0.4686
EZPW,$13.34
FA,$13.34
FAAS,$0.5356
FAASW,$0.06
FACT,$9.99
FACTU,$10.07
FACTW,$0.20
FAMI,$0.236
FANG,$140.11
FARM,$2.68
FARO,$29.28
FAST,$79.98
FAT,$3.68
FATBB,$3.13
FATBP,$9.70
FATBW,$3.17
FATE,$1.01
FBGL,$0.8403
FBIO,$1.54
FBIOP,$5.369
FBIZ,$48.96
FBLA,$11.37
FBLG,$1.22
FBNC,$40.32
FBRX,$6.50
FBYD,$8.35
FBYDW,$1.00
FCAP,$38.46
FCBC,$39.33
FCCO,$23.21
FCEL,$6.59
FCFS,$115.42
FCNCA,$1869.60
FCNCO,$22.55
FCNCP,$21.89
FCUV,$3.91
FDBC,$43.99
FDMT,$4.07
FDSB,$12.35
FDUS,$22.09
FEAM,$3.78
FEBO,$1.09
FEIM,$14.81
FELE,$102.75
FEMY,$1.50
FENC,$6.88
FER,$44.07
FERAU,$10.02
FFBC,$25.45
FFIC,$13.54
FFIE,$1.45
FFIEW,$0.0439
FFIN,$36.33
FFIV,$275.63
FFNW,$19.845
FGBI,$7.42
FGBIP,$19.80
FGEN,$0.3708
FGF,$20.25
FGFPP,$16.6142
FGI,$0.8249
FGIWW,$0.0367
FGL,$1.42
FGMC,$9.57
FGMCR,$0.20
FGMCU,$9.77
FHB,$25.79
FHTX,$4.52
FIBK,$28.94
FINW,$17.83
FIP,$5.05
FISI,$26.93
FITB,$40.06
FITBI,$25.77
FITBO,$22.45
FITBP,$24.66
FIVE,$82.04
FIVN,$32.48
FIZZ,$40.87
FKWL,$6.62
FLD,$7.58
FLDDW,$0.8898
FLEX,$34.70
FLGC,$0.6523
FLGT,$18.59
FLIC,$12.34
FLL,$4.27
FLNC,$5.60
FLNT,$2.68
FLUX,$1.41
FLWS,$6.555
FLX,$8.555
FLXS,$40.99
FLYE,$0.5299
FLYW,$10.26
FMAO,$24.51
FMBH,$36.53
FMNB,$13.79
FMST,$0.785
FMSTW,$0.1297
FMTO,$3.7506
FNGR,$1.29
FNKO,$8.965
FNLC,$25.50
FNWB,$10.48
FNWD,$27.99
FOLD,$8.86
FONR,$14.09
FORA,$2.11
FORD,$4.28
FORL,$11.33
FORLW,$0.0404
FORM,$33.00
FORR,$10.35
FORTY,$91.25
FOSL,$1.38
FOSLL,$13.82
FOX,$51.60
FOXA,$55.67
FOXF,$26.16
FOXX,$4.71
FOXXW,$0.14
FPAY,$1.431
FRAF,$37.03
FRBA,$14.97
FRGT,$1.36
FRHC,$135.10
FRME,$41.31
FRMEP,$25.30
FROG,$34.47
FRPH,$29.77
FRPT,$96.86
FRSH,$15.80
FRST,$10.10
FRSX,$0.7613
FSBC,$29.09
FSBW,$37.98
FSEA,$10.98
FSFG,$24.66
FSHP,$10.27
FSHPR,$0.1411
FSLR,$139.13
FSTR,$20.75
FSUN,$39.15
FSV,$170.79
FTAI,$104.22
FTAIM,$26.8539
FTAIN,$25.69
FTCI,$2.93
FTDR,$39.44
FTEK,$1.00
FTEL,$0.554
FTFT,$0.2272
FTHM,$0.7718
FTLF,$14.85
FTNT,$101.28
FTRE,$10.68
