ticket,price,market_cap,sector,industry,volume,pct_change
ALMU,$20.02,366472807.00,Technology,Semiconductors,888203,-1.863%
ALNT,$97.63,1659369467.00,Industrials,Electrical Products,849558,-4.528%
ALNY,$291.37,38901558395.00,Health Care,Biotechnology: Pharmaceutical Preparations,1490610,-0.614%
ALOT,$28.47,220579069.00,Technology,Computer peripheral equipment,189845,0.035%
ALOV,$9.9599,0.00,,,205,0.20%
ALOVU,$10.06,0.00,Finance,Blank Checks,190,0.00%
ALOY,$14.68,898614151.00,Technology,EDP Services,10538107,3.018%
ALP,$0.2445,5729757.00,Energy,Oil & Gas Production,2864183,-2.628%
ALPS,$0.606,100838598.00,,,92089,-6.769%
ALPXU,$9.99,0.00,Finance,Blank Checks,596984,-0.10%
ALRM,$46.34,2292003416.00,Technology,Computer Software: Prepackaged Software,2010545,5.151%
ALRS,$30.82,774464870.00,Finance,Major Banks,1284904,1.348%
ALT,$2.82,548417114.00,Health Care,Biotechnology: Pharmaceutical Preparations,17105457,-1.742%
ALTI,$3.55,538243332.00,Finance,Investment Managers,1604876,9.399%
ALTO,$5.19,402147944.00,Industrials,Major Chemicals,11444830,4.217%
ALVO,$3.68,1148723644.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),991875,5.747%
ALXO,$2.04,274508351.00,Health Care,Biotechnology: Pharmaceutical Preparations,14472426,13.966%
ALZN,$1.20,4565689.00,Health Care,Biotechnology: Pharmaceutical Preparations,68923,-6.977%
AMAL,$46.95,1402271942.00,Finance,Major Banks,735849,2.511%
AMAN,$10.08,0.00,Finance,Blank Checks,3996,0.199%
AMAT,$626.84,497685529101.00,Technology,Semiconductors,28138630,-6.162%
AMBA,$62.13,2725530334.00,Technology,Semiconductors,1991875,-3.088%
AMBR,$1.50,141412877.00,Finance,Finance: Consumer Services,36101,1.351%
AMCI,$4.22,95373532.00,Consumer Discretionary,Home Furnishings,12239,1.442%
AMCX,$10.08,442791337.00,Telecommunications,Cable & Other Pay Television Services,1086933,6.667%
AMD,$521.58,850488681290.00,Technology,Semiconductors,52705507,-2.064%
AMGN,$358.33,193393665822.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3610564,1.562%
AMIX,$5.72,3107687.00,Health Care,Medical/Dental Instruments,27796,-10.345%
AMKR,$78.72,19512524617.00,Technology,Semiconductors,6198854,-8.059%
AMLX,$17.79,1978004579.00,Health Care,Biotechnology: Pharmaceutical Preparations,3562203,2.007%
AMOD,$4.11,16941897.00,Miscellaneous,Multi-Sector Companies,26959,2.75%
AMODW,$0.0288,118717.00,Miscellaneous,Multi-Sector Companies,2329,0.00%
AMPG,$6.55,165969133.00,Telecommunications,Telecommunications Equipment,3255901,-6.16%
AMPGR,$1.42,35981095.00,Telecommunications,Telecommunications Equipment,10748,-22.404%
AMPGZ,$1.16,29393007.00,Telecommunications,Telecommunications Equipment,6207,-22.667%
AMPH,$21.78,960343776.00,Health Care,Biotechnology: Pharmaceutical Preparations,623997,3.517%
AMPL,$7.41,982708613.00,Technology,Computer Software: Prepackaged Software,3457526,9.615%
AMRN,$15.91,333618524.00,Health Care,Biotechnology: Pharmaceutical Preparations,75144,-2.691%
AMRX,$17.23,5496762706.00,Health Care,Biotechnology: Pharmaceutical Preparations,8248971,-0.52%
AMSC,$39.73,1894900300.00,Consumer Discretionary,Metal Fabrications,2160584,-1.365%
AMSF,$33.75,631252271.00,Finance,Property-Casualty Insurers,1162526,6.032%
AMSS,$2.04,29158328.00,Consumer Staples,Beverages (Production/Distribution),92326,4.615%
AMST,$1.09,6379754.00,Technology,Computer Software: Prepackaged Software,56188,0.926%
AMTX,$1.71,120326676.00,Industrials,Major Chemicals,8316957,6.211%
AMZN,$232.69,2503071794663.00,Consumer Discretionary,Catalog/Specialty Distribution,248372198,2.502%
ANAB,$63.15,1837721961.00,Health Care,Biotechnology: Pharmaceutical Preparations,1361171,5.814%
ANDE,$71.08,2420562300.00,Industrials,Farming/Seeds/Milling,897549,-0.098%
ANGH,$3.41,30910995.00,Consumer Discretionary,Telecommunications Equipment,150227,-34.423%
ANGHW,$0.01,90648.00,Consumer Discretionary,Telecommunications Equipment,220907,-17.355%
ANGI,$5.97,241921994.00,Consumer Discretionary,Advertising,1903567,17.52%
ANGO,$13.40,553673461.00,Health Care,Medical/Dental Instruments,959417,-1.903%
ANIK,$15.10,200914922.00,Health Care,Medical/Dental Instruments,166389,3.283%
ANIP,$84.50,1897715196.00,Health Care,Biotechnology: Pharmaceutical Preparations,780635,1.465%
ANIX,$2.79,94924346.00,Health Care,Biotechnology: Pharmaceutical Preparations,1041912,6.489%
ANL,$10.00,728594770.00,Health Care,Biotechnology: Pharmaceutical Preparations,299522,-1.575%
ANNA,$2.84,190093696.00,Energy,Oil & Gas Production,106243,1.792%
ANNAW,$0.2801,18748325.00,Energy,Oil & Gas Production,59298,3.741%
ANNX,$5.48,897857108.00,Health Care,Biotechnology: Pharmaceutical Preparations,14807078,6.408%
ANPA,$4.02,60709055.00,Consumer Discretionary,Other Consumer Services,9486,-6.512%
ANSC,$11.415,0.00,,,150020,-0.131%
ANTA,$5.76,138196892.00,Finance,Investment Bankers/Brokers/Service,1601,4.727%
ANTX,$5.20,187284037.00,Health Care,Biotechnology: Pharmaceutical Preparations,3646255,1.167%
ANY,$2.73,11585634.00,Finance,Finance: Consumer Services,146560,-0.365%
AOSL,$43.99,1316602136.00,Technology,Semiconductors,1133709,-3.742%
AOUT,$11.60,145082592.00,Consumer Discretionary,Recreational Games/Products/Toys,1811807,17.053%
APA,$33.01,11668052193.00,Energy,Oil & Gas Production,7577321,-1.227%
APAC,$10.15,0.00,,,33,0.00%
APC,$18.59,233680446.00,Energy,Oil Refining/Marketing,1661454,3.049%
APEI,$54.51,999903531.00,Real Estate,Other Consumer Services,700593,1.831%
APGE,$132.55,9992861656.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),5109678,-0.098%
API,$4.06,343272127.00,Technology,Computer Software: Prepackaged Software,439461,4.639%
APLD,$39.16,11190735147.00,Health Care,Medical/Dental Instruments,47908103,-4.371%
APLM,$20.80,45677882.00,Health Care,Biotechnology: Pharmaceutical Preparations,32419,-5.455%
APLMW,$0.0131,28768.00,Health Care,Biotechnology: Pharmaceutical Preparations,101,-9.655%
APM,$0.774,6303268.00,Health Care,Biotechnology: Pharmaceutical Preparations,32924,-0.322%
APMCU,$9.995,0.00,Finance,Blank Checks,27169,-0.04%
APOG,$48.92,1044491165.00,Consumer Discretionary,Auto Parts:O.E.M.,1465689,15.16%
APP,$477.08,160270255200.00,Technology,Computer Software: Programming Data Processing,3426534,6.985%
APPF,$155.64,5503202076.00,Technology,Computer Software: Prepackaged Software,414715,7.501%
APPN,$21.97,1612864276.00,Technology,Computer Software: Prepackaged Software,1329487,6.495%
APPS,$11.07,1335728108.00,Miscellaneous,Multi-Sector Companies,9086110,8.957%
APRE,$0.79,9782393.00,Health Care,Biotechnology: Pharmaceutical Preparations,40539,0.013%
APUR,$9.90,0.00,Finance,Blank Checks,84,0.00%
APVO,$4.55,5669778.00,Health Care,Biotechnology: Pharmaceutical Preparations,6868,-0.655%
APWC,$1.65,68033549.00,Industrials,Telecommunications Equipment,114949,-7.821%
APXT,$10.05,0.00,Technology,Computer Software: Prepackaged Software,2309,0.10%
APXTU,$10.17,0.00,Finance,Blank Checks,84,0.00%
APXTW,$0.3474,0.00,Finance,Blank Checks,117118,2.176%
APYX,$4.50,188432780.00,Health Care,Medical/Dental Instruments,161246,7.914%
AQB,$1.10,5661924.00,Consumer Staples,Meat/Poultry/Fish,12021,1.852%
AQMS,$2.905,9766627.00,Industrials,Metal Fabrications,24919,0.868%
AQST,$4.39,550726022.00,Health Care,Biotechnology: Pharmaceutical Preparations,7384765,-1.68%
ARAI,$0.3875,20095497.00,Consumer Discretionary,Diversified Commercial Services,948307,-0.895%
ARAY,$0.2646,31477794.00,Health Care,Medical/Dental Instruments,11976874,-16.583%
ARBB,$4.75,8384966.00,Technology,EDP Services,290,3.712%
ARBE,$0.6565,71681996.00,Technology,EDP Services,1086547,1.00%
ARBEW,$0.0289,3155536.00,Technology,EDP Services,1435,-13.731%
ARBK,$3.64,48629206.00,Finance,Finance: Consumer Services,33195,9.97%
ARCB,$146.29,3256968376.00,Industrials,Trucking Freight/Courier Services,1477228,-2.486%
ARCC,$18.19,13060835551.00,Finance,Finance: Consumer Services,3876654,1.112%
ARCI,$9.98,0.00,,,4,0.00%
ARCIW,$0.75,0.00,,,61176,17.647%
ARCL,$9.90,0.00,Finance,Blank Checks,11,0.00%
ARCLU,$10.21,0.00,Finance,Blank Checks,6,0.00%
ARCLW,$0.12,0.00,Finance,Blank Checks,16652,-2.834%
ARCT,$6.88,195550715.00,Health Care,Biotechnology: Pharmaceutical Preparations,1055728,0.88%
ARDX,$5.55,1371013098.00,Health Care,Biotechnology: Pharmaceutical Preparations,17524327,-8.416%
AREC,$2.08,222500246.00,Energy,Coal Mining,14226424,11.828%
ARGX,$887.18,55060952976.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),401056,-0.165%
ARHS,$8.41,1190351938.00,Consumer Discretionary,Other Specialty Stores,2415801,3.827%
ARKO,$7.71,864951909.00,Consumer Staples,Food Chains,3279248,3.769%
ARKR,$5.60,20194479.00,Consumer Discretionary,Restaurants,9557,-10.97%
ARLP,$24.48,3149567448.00,Energy,Coal Mining,212322,0.205%
ARM,$334.27,355681749086.00,Technology,Semiconductors,7718166,-3.865%
AROW,$41.05,678516230.00,Finance,Major Banks,480350,2.267%
ARQ,$2.34,100447444.00,Industrials,Major Chemicals,3317375,2.632%
ARQQ,$24.26,584437592.00,Technology,Computer Software: Prepackaged Software,698894,-11.201%
ARQQW,$0.053,1276801.00,Technology,Computer Software: Prepackaged Software,57327,2.913%
ARQT,$27.00,3377251098.00,Health Care,Biotechnology: Pharmaceutical Preparations,3711706,1.161%
ARRY,$7.12,1095243811.00,Consumer Discretionary,Miscellaneous manufacturing industries,6704821,-7.412%
ARTC,$9.91,0.00,Finance,Blank Checks,266,0.00%
ARTCU,$10.03,0.00,,,307,0.40%
ARTCW,$0.37,0.00,,,1600,5.413%
ARTL,$1.12,3903805.00,Health Care,Biotechnology: Pharmaceutical Preparations,121772,-3.448%
ARTNA,$33.62,347107606.00,Utilities,Water Supply,58157,1.296%
ARTV,$9.62,237774385.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1040504,8.947%
ARTW,$2.60,13471604.00,Industrials,Industrial Machinery/Components,3003,0.775%
ARVN,$8.00,516169584.00,Health Care,Biotechnology: Pharmaceutical Preparations,3028585,-0.374%
ARWR,$78.89,11112210387.00,Health Care,Biotechnology: Pharmaceutical Preparations,18919897,-0.479%
ARXS,$44.34,18194242061.00,Industrials,Military/Government/Technical,3028388,0.226%
ASBP,$6.00,7771404.00,Health Care,Biotechnology: Pharmaceutical Preparations,46976,-7.049%
ASBPW,$0.03,38857.00,Health Care,Biotechnology: Pharmaceutical Preparations,8424,-3.226%
ASLE,$6.55,309506030.00,Consumer Discretionary,Industrial Specialties,884547,1.55%
ASMB,$26.74,424968338.00,Health Care,Biotechnology: Pharmaceutical Preparations,1589365,10.223%
ASML,$1794.62,691678249962.00,Technology,Industrial Machinery/Components,2839971,-2.529%
ASND,$260.75,16160609136.00,Health Care,Biotechnology: Pharmaceutical Preparations,4450875,-0.317%
ASO,$48.50,3007890994.00,Consumer Discretionary,Other Specialty Stores,2353741,0.145%
ASPC,$10.90,0.00,Finance,Blank Checks,93,0.00%
ASPCR,$0.1001,0.00,Finance,Blank Checks,10008,0.00%
ASPCU,$10.85,0.00,Finance,Blank Checks,17,0.00%
ASPI,$6.17,776824268.00,Industrials,Major Chemicals,7525631,-2.835%
ASPS,$7.10,80080538.00,Consumer Discretionary,Other Consumer Services,25710,1.429%
ASPSW,$0.3502,3949888.00,Consumer Discretionary,Other Consumer Services,30006,-1.684%
